Date,Name,Country,eMail,Phone,Donation,Age,Education,Sex,Number of Families,The Number of Overseas Trips Each Month
12-03-23,Solomon Schröder,Germany,dolor@opensource.com,(016977) 2835,$21,33,3,Female,6,7
28-02-23,Carson Bruckmann,Indonesia,lacus.varius.et@yahoo.edu,(01512) 915263,$92,31,2,Male,5,4
06-03-23,Dora Maler,Singapore,malesuada.integer@google.ca,0800 281361,$62,30,3,Female,6,8
16-02-23,Fredericka Mo,Australia,vel.mauris@outlook.org,0800 488870,$44,26,2,Female,3,6
09-03-23,Herrod Johnston,Australia,eros.proin@google.com,(017182) 85879,$25,25,3,Male,4,10
09-03-23,Tad Mo,Indonesia,vel.quam@outlook.ca,0800 1111,$44,48,3,Male,4,7
04-02-23,Kessie Claßen,Australia,arcu.ac@yahoo.ca,0336 587 3063,$78,33,2,Female,5,2
22-03-23,Arden Jones,Australia,vestibulum.neque.sed@opensource.coid,(011413) 93464,$53,51,4,Female,5,7
09-02-23,Brennan Wolff,Australia,mi.fringilla@google.ca,(024) 7564 3957,$72,40,3,Male,4,7
08-01-23,Lavinia Simon,Indonesia,nec@google.coid,(01363) 236838,$49,46,4,Female,5,7
08-02-23,Colt Raab,Germany,at.pretium@outlook.edu,(024) 7119 7754,$16,28,1,Female,6,9
21-01-23,Risa Tu,Singapore,in.tincidunt@outlook.coid,(014289) 79444,$72,33,2,Female,3,2
07-01-23,Sydnee Bi,Indonesia,semper.pretium@outlook.edu,0863 266 2313,$18,41,2,Female,4,1
19-03-23,Kessie Adams,Australia,quisque.purus@google.net,0845 46 42,$71,27,3,Female,7,6
21-02-23,Carter Kaiser,Germany,eget.tincidunt@outlook.edu,056 2153 9689,$97,42,1,Female,1,3
04-01-23,Allen Pohl,Australia,quis@outlook.ca,070 1585 6936,$64,53,4,Female,5,8
24-03-23,Jorden King,Germany,magna.duis.dignissim@outlook.edu,0500 367721,$23,31,1,Female,3,7
13-02-23,Steven Lou,Indonesia,lorem.auctor@yahoo.org,070 5911 1545,$45,47,2,Female,5,0
30-03-23,Lucas Son,Singapore,fermentum.fermentum@outlook.org,07053 080863,$60,46,2,Male,3,6
25-02-23,Kuame Mani,Australia,nunc.laoreet@yahoo.net,076 4225 2121,$72,32,2,Female,5,7
13-03-23,Cyrus Baker,Singapore,nunc@google.net,(017368) 59832,$22,29,1,Female,3,4
02-02-23,Abraham Bauer,Australia,adipiscing.enim@yahoo.edu,(016977) 9264,$26,25,3,Male,4,1
14-02-23,Martena Vogel,Australia,lorem.luctus.ut@outlook.com,0934 330 1549,$70,25,4,Female,4,1
05-03-23,Melanie Jung,Singapore,nulla.facilisis.suspendisse@outlook.com,055 0177 0766,$42,27,3,Male,1,5
11-01-23,Maxwell Richards,Singapore,magnis.dis@opensource.edu,056 5566 8046,$31,36,4,Male,4,8
25-02-23,Shafira Schubert,Singapore,cubilia.curae.phasellus@yahoo.com,070 1224 0926,$93,20,3,Female,7,4
07-03-23,Maisie Lin,Germany,orci@outlook.edu,(0115) 185 0278,$58,25,3,Male,2,5
16-02-23,Germane Thomson,Indonesia,non@opensource.ca,07546 155463,$35,35,3,Female,5,6
03-01-23,Scarlet Thomas,Indonesia,vel@opensource.com,0831 113 4471,$95,22,3,Male,2,0
15-02-23,Madonna Dittrich,Singapore,molestie@opensource.edu,(01467) 96525,$64,38,2,Female,3,2
03-01-23,Malachi Ryan,Australia,nostra.per@google.net,0333 925 4532,$95,34,1,Male,3,8
17-01-23,Eliana Miller,Australia,lacinia.orci@yahoo.edu,(011833) 81542,$21,54,1,Female,6,5
28-03-23,Mariko Ding,Australia,ultrices@opensource.ca,0358 564 7956,$64,37,1,Female,5,5
20-01-23,Isaiah Cheung,Singapore,ut.tincidunt@opensource.edu,056 1185 6052,$82,32,1,Male,4,7
23-03-23,Lucian Rogers,Indonesia,sapien.aenean@opensource.net,0304 294 3457,$69,25,2,Male,6,9
19-02-23,Hadassah Müller,Singapore,vivamus.molestie@google.ca,0320 232 7613,$70,43,2,Female,5,1
07-03-23,Latifah Prinz,Germany,ac.mattis@opensource.org,(011065) 01774,$46,55,3,Male,6,8
24-02-23,Demetrius Dai,Indonesia,nunc.sed@opensource.org,(016977) 5404,$56,36,1,Male,7,9
24-02-23,Ayanna Köhler,Singapore,gravida.mauris.ut@outlook.edu,(019431) 40931,$27,29,4,Female,6,3
11-03-23,Rudyard Reddy,Australia,id.magna.et@yahoo.edu,07724 917477,$49,53,4,Male,6,1
18-03-23,Axel Seah,Australia,elementum@google.coid,(016977) 4643,$45,23,3,Female,2,1
12-01-23,Libby Davis,Singapore,malesuada@yahoo.edu,0930 462 3872,$92,23,1,Female,3,8
31-01-23,Addison Schmid,Indonesia,pede.nonummy@google.edu,(0151) 373 1118,$69,42,3,Female,6,9
01-02-23,Karyn Winter,Singapore,et.lacinia@yahoo.org,(018165) 18087,$48,50,1,Female,2,9
30-01-23,Raphael Jones,Germany,sit.amet@outlook.org,(01324) 255857,$20,34,3,Female,5,0
29-01-23,Stone Gu,Germany,quam@google.com,056 6435 7012,$75,54,4,Male,5,3
27-01-23,Rinah Diener,Singapore,fringilla.est.mauris@google.ca,055 7646 2683,$94,40,2,Female,4,1
14-03-23,Denton Kung,Australia,et@google.ca,0931 200 8315,$66,51,3,Female,3,1
25-02-23,Kirsten Quan,Germany,vestibulum@opensource.org,(0121) 634 4419,$24,24,4,Male,6,2
29-01-23,Nayda Gray,Australia,congue.a@google.net,0845 46 43,$35,21,2,Male,7,9
08-03-23,Lesley Frick,Indonesia,nisi@outlook.org,070 4586 9198,$70,30,2,Male,3,1
01-01-23,Teegan Hill,Australia,libero@opensource.net,0839 342 2112,$76,28,3,Male,3,1
22-03-23,Reuben Krämer,Singapore,sodales@opensource.coid,(023) 3730 5418,$53,43,2,Male,3,6
12-02-23,Theodore Diener,Indonesia,at.velit.cras@yahoo.com,(01385) 421749,$54,31,1,Male,2,1
16-01-23,Chaim Lim,Singapore,quis.diam.pellentesque@outlook.net,07624 862727,$86,45,1,Male,5,1
05-01-23,Meredith Graham,Germany,ut@opensource.coid,0800 852823,$56,36,3,Male,2,10
26-01-23,Zephr Martin,Australia,sed.auctor@google.edu,07425 156616,$56,22,3,Male,2,0
28-01-23,Jerome Mani,Singapore,blandit.nam@yahoo.coid,055 1787 4591,$77,29,3,Male,3,9
28-01-23,Belle Graham,Australia,velit@google.org,(027) 2205 5784,$47,48,1,Male,4,4
27-02-23,Kadeem Lehmann,Singapore,tincidunt@google.coid,0800 231 5977,$95,27,2,Male,6,9
18-03-23,Daphne Jung,Germany,dictum.eleifend.nunc@yahoo.com,(0110) 364 8432,$59,29,3,Female,5,2
24-03-23,Marshall Ren,Germany,tellus.faucibus@yahoo.org,(0118) 843 8998,$62,32,4,Female,3,1
24-01-23,Fredericka Winkler,Singapore,quam.curabitur@outlook.com,(0115) 484 6348,$48,21,3,Male,6,6
05-02-23,Cherokee Ee,Indonesia,at.risus@outlook.com,(01289) 75699,$86,34,2,Male,6,1
20-02-23,Edward Parker,Germany,tincidunt.vehicula@google.net,(0171) 806 4661,$18,29,4,Male,6,6
29-01-23,Geoffrey Cho,Germany,id.enim@yahoo.coid,0939 631 1882,$40,22,2,Male,5,7
26-01-23,Berk Frick,Indonesia,feugiat.placerat@opensource.ca,0800 1111,$65,43,1,Female,2,6
10-01-23,Oliver Michaelis,Singapore,risus.quis@opensource.net,(016977) 4744,$66,43,2,Male,6,6
26-01-23,Ralph Harris,Singapore,tincidunt.adipiscing@opensource.edu,(011532) 51333,$32,45,4,Female,3,8
03-03-23,Alexander James,Singapore,tellus.justo@outlook.edu,(01671) 690475,$63,38,1,Female,6,6
06-02-23,Hadassah Tao,Australia,luctus.felis@yahoo.edu,056 3281 1816,$52,28,3,Male,3,1
