"Order Date","Customer Name","State","Category","Sub-Category","Product Name","Sales","Quantity","Profit"
"2016-11-08","Claire Gute","Kentucky","Furniture","Bookcases","Bush Somerset Collection Bookcase",261.96,2,41.9136
"2016-11-08","Claire Gute","Kentucky","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,219.582
"2016-06-12","Darrin Van Huff","California","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,6.8714
"2015-10-11","Sean O'Donnell","Florida","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",957.5775,5,-383.031
"2015-10-11","Sean O'Donnell","Florida","Office Supplies","Storage","Eldon Fold 'N Roll Cart System",22.368,2,2.5164
"2014-06-09","Brosina Hoffman","California","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,14.1694
"2014-06-09","Brosina Hoffman","California","Office Supplies","Art","Newell 322",7.28,4,1.9656
"2014-06-09","Brosina Hoffman","California","Technology","Phones","Mitel 5320 IP Phone VoIP phone",907.152,6,90.7152
"2014-06-09","Brosina Hoffman","California","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",18.504,3,5.7825
"2014-06-09","Brosina Hoffman","California","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge",114.9,5,34.47
"2014-06-09","Brosina Hoffman","California","Furniture","Tables","Chromcraft Rectangular Conference Tables",1706.184,9,85.3092
"2014-06-09","Brosina Hoffman","California","Technology","Phones","Konftel 250 Conference�phone�- Charcoal black",911.424,4,68.3568
"2017-04-15","Andrew Allen","North Carolina","Office Supplies","Paper","Xerox 1967",15.552,3,5.4432
"2016-12-05","Irene Maddox","Washington","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine",407.976,3,132.5922
"2015-11-22","Harold Pawlan","Texas","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,-123.858
"2015-11-22","Harold Pawlan","Texas","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544,3,-3.816
"2014-11-11","Pete Kriz","Wisconsin","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,13.3176
"2014-05-13","Alejandro Grove","Utah","Office Supplies","Storage","Fellowes Super Stor/Drawer",55.5,2,9.99
"2014-08-27","Zuschuss Donatelli","California","Office Supplies","Art","Newell 341",8.56,2,2.4824
"2014-08-27","Zuschuss Donatelli","California","Technology","Phones","Cisco SPA 501G IP Phone",213.48,3,16.011
"2014-08-27","Zuschuss Donatelli","California","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""",22.72,4,7.384
"2016-12-09","Ken Black","Nebraska","Office Supplies","Art","Newell 318",19.46,7,5.0596
"2016-12-09","Ken Black","Nebraska","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,15.6884
"2017-07-16","Sandra Flanagan","Pennsylvania","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",71.372,2,-1.0196
"2015-09-25","Emily Burns","Utah","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",1044.63,3,240.2649
"2016-01-16","Eric Hoffmann","California","Office Supplies","Binders","Wilson Jones Active Use Binders",11.648,2,4.2224
"2016-01-16","Eric Hoffmann","California","Technology","Accessories","Imation�8GB Mini TravelDrive USB 2.0�Flash Drive",90.57,3,11.7741
"2015-09-17","Tracy Blumstein","Pennsylvania","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,-1665.0522
"2015-09-17","Tracy Blumstein","Pennsylvania","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems",9.618,2,-7.0532
"2015-09-17","Tracy Blumstein","Pennsylvania","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,15.525
"2015-09-17","Tracy Blumstein","Pennsylvania","Office Supplies","Envelopes","Poly String Tie Envelopes",3.264,2,1.1016
"2015-09-17","Tracy Blumstein","Pennsylvania","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,9.7092
"2015-09-17","Tracy Blumstein","Pennsylvania","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,-5.715
"2015-09-17","Tracy Blumstein","Pennsylvania","Office Supplies","Art","Lumber Crayons",15.76,2,3.546
"2017-10-19","Matt Abelman","Texas","Office Supplies","Paper","Easy-staple paper",29.472,3,9.9468
"2016-12-08","Gene Hale","Texas","Technology","Phones","GE 30524EE4",1097.544,7,123.4737
"2016-12-08","Gene Hale","Texas","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,-147.963
"2015-12-27","Steve Nguyen","Texas","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,35.415
"2015-12-27","Steve Nguyen","Texas","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,-46.9764
"2015-12-27","Steve Nguyen","Texas","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray",212.058,3,-15.147
"2015-12-27","Steve Nguyen","Texas","Technology","Phones","Plantronics HL10 Handset Lifter",371.168,4,41.7564
"2017-09-10","Linda Cazamias","Illinois","Technology","Phones","Panasonic Kx-TS550",147.168,4,16.5564
"2016-07-17","Ruben Ausman","California","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum",77.88,2,3.894
"2017-09-19","Erin Smith","Florida","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,9.5616
"2016-03-11","Odella Nelson","Minnesota","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,19.7714
"2016-03-11","Odella Nelson","Minnesota","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,2,8.2062
"2014-10-20","Patrick O'Donnell","Michigan","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,8.4784
"2016-06-20","Lena Hernandez","Delaware","Technology","Accessories","Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive",45,3,4.95
"2016-06-20","Lena Hernandez","Delaware","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,6.104
"2015-04-18","Darren Powers","Indiana","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,17.9634
"2015-04-18","Darren Powers","Indiana","Office Supplies","Labels","Avery 485",75.18,6,35.3346
"2015-04-18","Darren Powers","Indiana","Furniture","Furnishings","Longer-Life Soft White Bulbs",6.16,2,2.9568
"2015-04-18","Darren Powers","Indiana","Furniture","Chairs","Global Leather Task Chair, Black",89.99,1,17.0981
"2016-12-11","Janet Molinari","New York","Office Supplies","Fasteners","Advantus Push Pins",15.26,7,6.2566
"2016-12-11","Janet Molinari","New York","Technology","Phones","AT&T CL83451 4-Handset Telephone",1029.95,5,298.6855
"2016-06-17","Ted Butterfield","New York","Office Supplies","Storage","Home/Office Personal File Carts",208.56,6,52.14
"2016-06-17","Ted Butterfield","New York","Office Supplies","Paper","Xerox 232",32.4,5,15.552
"2016-06-17","Ted Butterfield","New York","Furniture","Chairs","Novimex Turbo Task Chair",319.41,5,7.098
"2016-06-17","Ted Butterfield","New York","Office Supplies","Paper","Array Parchment Paper, Assorted Colors",14.56,2,6.9888
"2016-06-17","Ted Butterfield","New York","Technology","Accessories","Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive",30,2,3.3
